Cod	Descrição	Grupo de itens
10.01.1120	MDF 18MM BP 2F AZUL ARDOSIA	CHAPAS
10.01.1121	MDF 18MM BP 2F ROSA INFINITO	CHAPAS
10.01.1122	MDF 18MM BP 2F ITALIAN NOCE	CHAPAS
10.01.1123	MDF 37MM BP 2F	CHAPAS
10.01.1124	MDF 18MM BP 2F VERDE JADE	CHAPAS
10.01.1125	MDF 18MM BP 2F TOQUIO	CHAPAS
10.01.1126	MDF 15MM BP 2F CANCUN	CHAPAS
10.01.1127	MDF 25MM BP 2F LINUM	CHAPAS
10.01.1128	MDF 6MM 2F ASTI	CHAPAS
10.01.1129	MDF 18MM BP 2F AZUL SECRETO	CHAPAS
10.01.1130	MDF 18MM BP 2F OCRE SOLAR	CHAPAS
10.01.1131	MDF 6MM 2F AZUL ARDOSIA	CHAPAS
10.01.1132	MDF 6MM 2F LINEO TEXTIL	CHAPAS
10.01.1133	MDF 6MM 2F AZUL SECRETO	CHAPAS
10.01.1134	MDF 18MM BP 2F LOURO.F SUDATI	CHAPAS
10.01.1135	MDF 18MM BP 2F JEQUITIBA	CHAPAS
10.01.1136	MDF GLAMOUR 1F 06MM	CHAPAS
10.01.1137	MDF 15MM BP 2F SERRANO	CHAPAS
10.01.1138	MDF 15MM BP 2F CABIUNA NOBRE	CHAPAS
10.01.1139	MDF 18MM BP 2F OFF WHITE	CHAPAS
10.01.1140	MDF 18MM BP 2F ARENAS	CHAPAS
10.01.1142	MDF 18MM BP 2F CINZA URBANO	CHAPAS
10.01.1143	MDF 18MM BP 2F GAIA	CHAPAS
10.01.1144	MDF 18MM BP 2F AURORA TRAMA	CHAPAS
10.01.1145	MDF 15MM BP 2F CARVALHO LATINO	CHAPAS
10.01.1146	MDF 18MM BP 2F GENERICO	CHAPAS
10.01.1147	MDF 18MM BP 2F TAIPA	CHAPAS
10.01.1148	MDF 15MM BP 2F EBANO CHESS ARAUCO	CHAPAS
10.01.1149	MDF 06MM 2F GLAMOUR	CHAPAS
10.01.1150	MDF 18MM BP 2F BLUSH	CHAPAS
10.01.1151	MDF 06MM 2F BLUSH	CHAPAS
10.01.1152	MDF 18M CARVALHO MEL	CHAPAS
10.01.1153	MDF 18M FONTANA MAGMA	CHAPAS
10.01.1154	MDF 18M MONTEGO BLANC	CHAPAS
10.01.1155	MDF 25MM BP 2F MONTEGO BLANC	CHAPAS
10.01.1156	MDF 18M FENDI GUARARAPES	CHAPAS
10.01.1157	MDF 18M PALHA TRAMA DURATEX	CHAPAS
10.01.1158	MDP 18MM BP 2F MOCCA	CHAPAS
10.01.1159	MDP 25MM BP 2F MOCCA	CHAPAS
10.01.1160	MDF 18MM BP 2F CHAMOIS	CHAPAS
10.01.1161	MDP 15MM BP 2F MOCCA	CHAPAS
