Item;Descrição (Item);Subgrupo de itens - Descrição (Sub Grupo)
363;QUARTZO  - 37;PAINEL
364;RAPHIA MDF  - 37;PAINEL
365;REALI  - 37;PAINEL
366;SANTIAGO  - 37;PAINEL
367;SERRANO MDF  - 37;PAINEL
368;TITAN  - 37;PAINEL
369;URBI      - 37;PAINEL
370;VULCANO  - 37;PAINEL
371;ITALIAN NOCE - MDF  - 18;PAINEL
372;BRANCO - MDF  - 9;PAINEL
373;TOKIO - MDF  - 18;PAINEL
374;CANCUN - MDF  - 15;PAINEL
375;ASTI - MDF  - 6;PAINEL
376;AZUL SECRETO - MDF  - 18;PAINEL
377;OCRE - MDF  - 18;PAINEL
378;AZUL  ARDOSIA   - 6;PAINEL
379;CARVALHO MALVA - MDF  - 37;PAINEL
380;AMEIXA NEGRA - MDF  - 37;PAINEL
381;LINEO TEXTIL - MDF  - 37;PAINEL
382;AZUL SECRETO - MDF  - 37;PAINEL
383;LOURO FREIJO SUDATI - MDF  - 37;PAINEL
384;JEQUITIBA - MDF  - 18;PAINEL
385;JEQUITIBA - MDF  - 37;PAINEL
386;Serrano MDF  - 15;PAINEL
387;Cabiuna Nobre MDF  - 15;PAINEL
388;Louro Freijo Sudati - MDF  - 18;PAINEL
389;Off White - MDF  - 18;PAINEL
390;Arenas - MDF  - 18;PAINEL
391;cinza urbano- MDF  - 18;PAINEL
392;Arenas - MDF  - 37;PAINEL
393;taipa - MDF  - 18;PAINEL
394; Blush duratex - MDF  - 18;PAINEL
395; Blush duratex - MDF 1F  - 6;PAINEL
396; Fendi Guararapes - MDF  - 18;PAINEL
397; Palha Trama duratex - MDF  - 18;PAINEL
398; Fendi Guararapes - MDF  - 37;PAINEL
399;Branco Supremo - MDF  - 18;PAINEL
400;Branco Supremo - MDF  - 6;PAINEL
