Item	Descrição (Item)	Subgrupo de itens - Descrição (Sub Grupo)
10.02.1348	FITA BORDA 42X1.0MM URBI	BORDA
10.02.1349	FITA BORDA 22X1.0MM RAPHIA	BORDA
10.02.1350	FITA BORDA 35X1.0MM RAPHIA	BORDA
10.02.1351	FITA BORDA 42X1.0MM RAPHIA	BORDA
10.02.1352	FITA BORDA 50X0.45MM CARVALHO LATINO	BORDA
10.02.1353	FITA BORDA 29X1.0MM CABIUNA NOBRE	BORDA
10.02.1354	FITA BORDA 42X1.0MM CABIUNA NOBRE	BORDA
10.02.1355	FITA BORDA 29X1.0MM SERRANO	BORDA
10.02.1356	FITA BORDA 50X0.45MM LINUM	BORDA
10.02.1357	FITA BORDA 50X0.45MM CABIUNA NOBRE	BORDA
10.02.1358	FITA BORDA 42X1.0MM SERRANO	BORDA
10.02.1359	FITA BORDA 22X1.0MM SERRANO	BORDA
10.02.1360	FITA BORDA 50X0.45MM MANHATTAN	BORDA
10.02.1361	FITA BORDA 22X1.0MM CABIUNA NOBRE	BORDA
10.02.1362	FITA BORDA 35X1.0MM SERRANO	BORDA
10.02.1363	FITA BORDA 50X0.45MM URBI	BORDA
10.02.1364	FITA BORDA 50X0.45MM SERRANO	BORDA
10.02.1365	FITA BORDA 29X1.0MM JALAPAO	BORDA
10.02.1366	FITA BORDA 50X0.45MM MANHATTAN	BORDA
10.02.1367	FITA BORDA 29X1.0MM PANNA	BORDA
10.02.1368	FITA BORDA 19X1.0MM PANNA	BORDA
10.02.1369	FITA BORDA 22X1.0MM CARVALHO MALVA	BORDA
10.02.1370	FITA BORDA 29X1.0MM CARVALHO MALVA	BORDA
10.02.1371	FITA BORDA 45X1.0MM CARVALHO MALVA	BORDA
10.02.1372	FITA BORDA 19X1.0MM OURO	BORDA
10.02.1373	FITA BORDA 22X1.0MM OURO	BORDA
10.02.1374	FITA BORDA 35X1.0MM CABIUNA NOBRE	BORDA
10.02.1374.0001	RODIZIO 50 C/ TRAVA 65X42	BORDA
10.02.1374.0002	RODIZIO 50 S/ TRAVA 65X42	BORDA
10.02.1374.0003	RODIZIO 50 S/ TRAVA 65X42	BORDA
10.02.1374.0004	RODIZIO 50 C/ TRAVA 65X42	BORDA
10.02.1374.0005	KIT CANTONEIRA FIXACAO - 3 UN 369X804	BORDA
10.02.1374.0006	KIT DOBRADICA RETA 3D SLOW 13X62	BORDA
10.02.1374.0007	KIT DOBRADICA RETA 3D SLOW 13X62	BORDA
10.02.1374.0008	KIT DOBRADICA RETA 3D SLOW 13X62	BORDA
10.02.1374.0009	KIT DOBRADICA RETA 3D SLOW 13X62	BORDA
10.02.1374.0010	PISTAO A GAS 60N 180X20	BORDA
10.02.1374.0011	KIT CANTONEIRA FIXACAO - 3 UN 284X804	BORDA
10.02.1374.0012	KIT DOBRADICA RETA 3D SLOW 13X62	BORDA
10.02.1374.0013	KIT DOBRADICA RETA 3D SLOW 13X62	BORDA
10.02.1374.0014	KIT CANTONEIRA FIXACAO - 3 UN 319X446	BORDA
10.02.1374.0015	KIT DOBRADICA RETA 3D SLOW 13X62	BORDA
10.02.1374.0016	KIT DOBRADICA RETA 3D SLOW 13X62	BORDA
10.02.1374.0017	KIT CANTONEIRA FIXACAO - 3 UN 319X446	BORDA
10.02.1374.0018	KIT DOBRADICA RETA 3D SLOW 13X62	BORDA
10.02.1374.0019	KIT DOBRADICA RETA 3D SLOW 13X62	BORDA
10.02.1374.0020	KIT CANTONEIRA FIXACAO - 3 UN 319X446	BORDA
10.02.1374.0021	KIT DOBRADICA RETA 3D SLOW 13X62	BORDA
10.02.1374.0022	KIT DOBRADICA RETA 3D SLOW 13X62	BORDA
10.02.1374.0023	KIT CANTONEIRA FIXACAO - 3 UN 319X446	BORDA
10.02.1374.0024	KIT DOBRADICA RETA 3D SLOW 13X62	BORDA
10.02.1374.0025	KIT DOBRADICA RETA 3D SLOW 13X62	BORDA
10.02.1374.0026	KIT CANTONEIRA FIXACAO - 3 UN 629X943	BORDA
10.02.1374.0027	KIT DOBRADICA RETA 3D SLOW 13X62	BORDA
10.02.1374.0028	KIT DOBRADICA RETA 3D SLOW 13X62	BORDA
10.02.1374.0029	KIT DOBRADICA RETA 3D SLOW 13X62	BORDA
10.02.1374.0030	KIT DOBRADICA RETA 3D SLOW 13X62	BORDA
10.02.1374.0031	KIT CANTONEIRA FIXACAO - 3 UN 629X943	BORDA
10.02.1374.0032	KIT DOBRADICA RETA 3D SLOW 13X62	BORDA
10.02.1374.0033	KIT DOBRADICA RETA 3D SLOW 13X62	BORDA
10.02.1374.0034	KIT DOBRADICA RETA 3D SLOW 13X62	BORDA
10.02.1374.0035	KIT DOBRADICA RETA 3D SLOW 13X62	BORDA
10.02.1374.0036	KIT CANTONEIRA FIXACAO - 3 UN 629X943	BORDA
10.02.1374.0037	KIT DOBRADICA RETA 3D SLOW 13X62	BORDA
10.02.1374.0038	KIT DOBRADICA RETA 3D SLOW 13X62	BORDA
10.02.1374.0039	KIT DOBRADICA RETA 3D SLOW 13X62	BORDA
10.02.1374.0040	KIT DOBRADICA RETA 3D SLOW 13X62	BORDA
10.02.1374.0041	KIT CANTONEIRA FIXACAO - 3 UN 629X943	BORDA
10.02.1374.0042	KIT DOBRADICA RETA 3D SLOW 13X62	BORDA
10.02.1374.0043	KIT DOBRADICA RETA 3D SLOW 13X62	BORDA
10.02.1374.0044	KIT DOBRADICA RETA 3D SLOW 13X62	BORDA
10.02.1374.0045	KIT DOBRADICA RETA 3D SLOW 13X62	BORDA
10.02.1374.0046	KIT CANTONEIRA FIXACAO - 3 UN 319X459	BORDA
10.02.1374.0047	KIT CANTONEIRA FIXACAO - 3 UN 319X459	BORDA
10.02.1374.0048	KIT DOBRADICA RETA 3D SLOW 13X62	BORDA
10.02.1374.0049	KIT DOBRADICA RETA 3D SLOW 13X62	BORDA
10.02.1374.0050	KIT DOBRADICA RETA 3D SLOW 13X62	BORDA
10.02.1374.0051	KIT DOBRADICA RETA 3D SLOW 13X62	BORDA
10.02.1374.0052	BASCULANTE INFERIOR AMERICANA PALHA 471X364	BORDA
10.02.1374.0053	BASCULANTE INFERIOR AMERICANA PALHA 471X364	BORDA
10.02.1374.0054	BASCULANTE INFERIOR AMERICANA PALHA 471X364	BORDA
10.02.1374.0055	BASCULANTE INFERIOR AMERICANA PALHA 471X364	BORDA
10.02.1374.0056	BASCULANTE INFERIOR AMERICANA PALHA 484X364	BORDA
10.02.1374.0057	BASCULANTE INFERIOR AMERICANA PALHA 484X364	BORDA
10.02.1375	FITA BORDA 35X1.0MM CARVALHO LATINO	BORDA
10.02.1376	FITA BORDA 35X1.0MM PANNA	BORDA
10.02.1377	FITA BORDA 22X1.0MM PANNA	BORDA
10.02.1378	FITA BORDA 42X1.0MM PANNA	BORDA
10.02.1379	FITA BORDA 50X0.45MM PANNA	BORDA
10.02.1380	FITA BORDA 19X0.45MM CARVALHO MEL	BORDA
10.02.1381	FITA BORDA 19X0.45MM BIANCO RAVENNA	BORDA
10.02.1382	FITA BORDA 19X1.0MM NIQUEL	BORDA
10.02.1383	FITA BORDA 19X0.45MM PANNA	BORDA
10.02.1384	FITA BORDA 19X0.45MM CARVALHO MALVA	BORDA
10.02.1385	FITA BORDA 22X1.0MM AZUL ARDOSIA	BORDA
10.02.1386	FITA BORDA 22X1.0MM ROSA INFINITO	BORDA
10.02.1387	FITA BORDA 50X0.45MM ROSA INFINITO	BORDA
10.02.1388	FITA BORDA 22X1.0MM ITALIAN NOCE	BORDA
10.02.1389	FITA BORDA 22X1.0MM VERDE JADE	BORDA
10.02.1390	FITA BORDA 22X1.0MM TOQUIO	BORDA
10.02.1391	FITA BORDA 22X1.0MM AZUL SECRETO	BORDA
10.02.1392	FITA BORDA 50X0.45MM AZUL SECRETO	BORDA
10.02.1393	FITA BORDA 22X1.0MM OCRE SOLAR	BORDA
10.02.1394	FITA BORDA 50X0.45MM AZUL ARDOSIA	BORDA
10.02.1395	FITA BORDA 35X1.0MM AZUL ARDOSIA	BORDA
10.02.1396	FITA BORDA 22X1.0MM LOURO.F SUDATI	BORDA
10.02.1397	FITA BORDA 50X1.0MM LOURO.F SUDATI	BORDA
10.02.1398	FITA BORDA 22X1.0MM JEQUITIBA	BORDA
10.02.1399	FITA BORDA 50X1.0MM JEQUITIBA	BORDA
10.02.1400	FITA BORDA 19X1.00MM SERRANO	BORDA
10.02.1401	FITA BORDA 19X1.0MM CABIUNA NOBRE	BORDA
10.02.1402	FITA BORDA 29X1.0MM LINUM	BORDA
10.02.1403	FITA BORDA 22X0.45MM ARENAS	BORDA
10.02.1404	FITA BORDA 22X1.0MM OFF WHITE	BORDA
10.02.1405	FITA BORDA 22X1.0MM CINZA URBANO	BORDA
10.02.1406	FITA BORDA 22X1.0MM AURORA TRAMA	BORDA
10.02.1407	FITA BORDA 50X0.45MM AURORA TRAMA	BORDA
10.02.1408	FITA BORDA 45X1.0MM AURORA TRAMA	BORDA
10.02.1409	FITA BORDA 19X1.0MM CARVALHO LATINO	BORDA
10.02.1410	FITA BORDA 22X1.0MM GENERICO	BORDA
10.02.1411	FITA BORDA 22X1.0MM TAIPA	BORDA
10.02.1412	FITA BORDA 22X1.0MM BLUSH	BORDA
10.02.1413	FITA BORDA 50X1.0MM BLUSH	BORDA
10.02.1414	FITA BORDA 35X1.0MM BLUSH	BORDA
10.02.1415	FITA BORDA 42X1.0MM BLUSH	BORDA
10.02.1416	FITA BORDA 22X1.0MM FONTANA MAGMA	BORDA
10.02.1417	FITA BORDA 29X1.0MM MONTEGO BLANC	BORDA
10.02.1418	FITA BORDA 22X1.0MM FENDI	BORDA
10.02.1419	FITA BORDA 29X1.0MM PALHA TRAMA	BORDA
10.02.1420	FITA BORDA 42X1.0MM FENDI	BORDA
